date,day,eventfromtime,dayname,entry,shoppingtime
23/02/2023,Thu,16:00:00,Thu,504,141.36
23/02/2023,Thu,17:00:00,Thu,577,135.55
23/02/2023,Thu,18:00:00,Thu,474,131.42
23/02/2023,Thu,19:00:00,Thu,420,126.43
23/02/2023,Thu,20:00:00,Thu,403,113.76
23/02/2023,Thu,21:00:00,Thu,355,93.17
23/02/2023,Thu,22:00:00,Thu,215,67.88
23/02/2023,Thu,23:00:00,Thu,151,0
24/02/2023,Fri,0:00:00,Fri,92,0
24/02/2023,Fri,1:00:00,Fri,93,0
24/02/2023,Fri,2:00:00,Fri,112,0
24/02/2023,Fri,3:00:00,Fri,22,0
24/02/2023,Fri,4:00:00,Fri,0,0
24/02/2023,Fri,5:00:00,Fri,0,0
24/02/2023,Fri,6:00:00,Fri,23,0
24/02/2023,Fri,7:00:00,Fri,115,208.47
24/02/2023,Fri,8:00:00,Fri,465,110.44
24/02/2023,Fri,9:00:00,Fri,534,78.74
24/02/2023,Fri,10:00:00,Fri,648,75.8
24/02/2023,Fri,11:00:00,Fri,762,69.17
24/02/2023,Fri,12:00:00,Fri,701,61.77
24/02/2023,Fri,13:00:00,Fri,617,40.33
24/02/2023,Fri,14:00:00,Fri,1070,10.75
24/02/2023,Fri,15:00:00,Fri,615,31.11
24/02/2023,Fri,16:00:00,Fri,168,78.36
24/02/2023,Fri,17:00:00,Fri,87,121.28
24/02/2023,Fri,18:00:00,Fri,119,160.53
24/02/2023,Fri,19:00:00,Fri,90,187.59
24/02/2023,Fri,20:00:00,Fri,70,211.43
24/02/2023,Fri,21:00:00,Fri,168,170.04
24/02/2023,Fri,22:00:00,Fri,94,24.81
24/02/2023,Fri,23:00:00,Fri,222,0
25/02/2023,Sat,0:00:00,Sat,16,0
25/02/2023,Sat,1:00:00,Sat,0,0
25/02/2023,Sat,2:00:00,Sat,0,0
25/02/2023,Sat,3:00:00,Sat,0,0
25/02/2023,Sat,4:00:00,Sat,0,0
25/02/2023,Sat,5:00:00,Sat,0,0
25/02/2023,Sat,6:00:00,Sat,0,0
25/02/2023,Sat,7:00:00,Sat,0,0
25/02/2023,Sat,8:00:00,Sat,0,0
25/02/2023,Sat,9:00:00,Sat,0,0
25/02/2023,Sat,10:00:00,Sat,0,0
25/02/2023,Sat,11:00:00,Sat,0,0
25/02/2023,Sat,12:00:00,Sat,0,0
25/02/2023,Sat,13:00:00,Sat,0,0
25/02/2023,Sat,14:00:00,Sat,0,0
25/02/2023,Sat,15:00:00,Sat,0,0
25/02/2023,Sat,16:00:00,Sat,0,0
25/02/2023,Sat,17:00:00,Sat,0,0
25/02/2023,Sat,18:00:00,Sat,0,0
25/02/2023,Sat,19:00:00,Sat,0,0
25/02/2023,Sat,20:00:00,Sat,0,0
25/02/2023,Sat,21:00:00,Sat,0,0
25/02/2023,Sat,22:00:00,Sat,0,0
25/02/2023,Sat,23:00:00,Sat,0,0
26/02/2023,Sun,0:00:00,Sun,203,0
26/02/2023,Sun,1:00:00,Sun,13,0
26/02/2023,Sun,2:00:00,Sun,6,0
26/02/2023,Sun,3:00:00,Sun,1,0
26/02/2023,Sun,4:00:00,Sun,1,0
26/02/2023,Sun,5:00:00,Sun,20,0
26/02/2023,Sun,6:00:00,Sun,26,0
26/02/2023,Sun,7:00:00,Sun,49,212.96
26/02/2023,Sun,8:00:00,Sun,304,12.03
26/02/2023,Sun,9:00:00,Sun,704,20.44
26/02/2023,Sun,10:00:00,Sun,1143,32.69
26/02/2023,Sun,11:00:00,Sun,1470,43.27
26/02/2023,Sun,12:00:00,Sun,1496,52.28
26/02/2023,Sun,13:00:00,Sun,1462,59.12
26/02/2023,Sun,14:00:00,Sun,1444,63.55
26/02/2023,Sun,15:00:00,Sun,1317,65.65
26/02/2023,Sun,16:00:00,Sun,1795,62.37
26/02/2023,Sun,17:00:00,Sun,1741,62.18
26/02/2023,Sun,18:00:00,Sun,1850,66.33
26/02/2023,Sun,19:00:00,Sun,1737,69.47
26/02/2023,Sun,20:00:00,Sun,1405,73.48
26/02/2023,Sun,21:00:00,Sun,769,86.69
26/02/2023,Sun,22:00:00,Sun,189,107.89
26/02/2023,Sun,23:00:00,Sun,58,134.56
27/02/2023,Mon,0:00:00,Mon,58,0
27/02/2023,Mon,1:00:00,Mon,3,0
27/02/2023,Mon,2:00:00,Mon,0,0
27/02/2023,Mon,3:00:00,Mon,3,0
27/02/2023,Mon,4:00:00,Mon,4,0
27/02/2023,Mon,5:00:00,Mon,3,0
27/02/2023,Mon,6:00:00,Mon,22,0
27/02/2023,Mon,7:00:00,Mon,106,8.27
27/02/2023,Mon,8:00:00,Mon,377,18.59
27/02/2023,Mon,9:00:00,Mon,755,28.52
27/02/2023,Mon,10:00:00,Mon,1113,40.11
27/02/2023,Mon,11:00:00,Mon,1336,51.08
27/02/2023,Mon,12:00:00,Mon,1491,58.62
27/02/2023,Mon,13:00:00,Mon,1456,64.32
27/02/2023,Mon,14:00:00,Mon,1376,66.04
27/02/2023,Mon,15:00:00,Mon,1256,68.91
27/02/2023,Mon,16:00:00,Mon,1536,66.14
27/02/2023,Mon,17:00:00,Mon,1719,62.51
27/02/2023,Mon,18:00:00,Mon,1818,64.83
27/02/2023,Mon,19:00:00,Mon,1611,68.26
27/02/2023,Mon,20:00:00,Mon,1279,75.46
27/02/2023,Mon,21:00:00,Mon,788,85.81
27/02/2023,Mon,22:00:00,Mon,226,100.82
27/02/2023,Mon,23:00:00,Mon,58,120.62
28/02/2023,Tue,0:00:00,Tue,73,0
28/02/2023,Tue,1:00:00,Tue,9,0
28/02/2023,Tue,2:00:00,Tue,2,0
28/02/2023,Tue,3:00:00,Tue,1,0
28/02/2023,Tue,4:00:00,Tue,2,0
28/02/2023,Tue,5:00:00,Tue,6,0
28/02/2023,Tue,6:00:00,Tue,6,0
28/02/2023,Tue,7:00:00,Tue,75,28.39
28/02/2023,Tue,8:00:00,Tue,346,16.33
28/02/2023,Tue,9:00:00,Tue,835,25.91
28/02/2023,Tue,10:00:00,Tue,1335,36.7
28/02/2023,Tue,11:00:00,Tue,1610,48.2
28/02/2023,Tue,12:00:00,Tue,1505,62.66
28/02/2023,Tue,13:00:00,Tue,1585,70.34
28/02/2023,Tue,14:00:00,Tue,1459,73.3
28/02/2023,Tue,15:00:00,Tue,1438,71.63
28/02/2023,Tue,16:00:00,Tue,1819,66.88
28/02/2023,Tue,17:00:00,Tue,1901,66.18
28/02/2023,Tue,18:00:00,Tue,1865,71.26
28/02/2023,Tue,19:00:00,Tue,1878,73.93
28/02/2023,Tue,20:00:00,Tue,1507,80.28
28/02/2023,Tue,21:00:00,Tue,946,87.11
28/02/2023,Tue,22:00:00,Tue,265,101.2
28/02/2023,Tue,23:00:00,Tue,99,117.87
01/03/2023,Wed,0:00:00,Wed,85,0
01/03/2023,Wed,1:00:00,Wed,9,0
01/03/2023,Wed,2:00:00,Wed,8,0
01/03/2023,Wed,3:00:00,Wed,10,0
01/03/2023,Wed,4:00:00,Wed,24,0
01/03/2023,Wed,5:00:00,Wed,45,0
01/03/2023,Wed,6:00:00,Wed,37,0
01/03/2023,Wed,7:00:00,Wed,146,8.78
01/03/2023,Wed,8:00:00,Wed,416,20.13
01/03/2023,Wed,9:00:00,Wed,732,30.65
01/03/2023,Wed,10:00:00,Wed,1011,42.05
01/03/2023,Wed,11:00:00,Wed,1153,51.67
01/03/2023,Wed,12:00:00,Wed,1196,59.37
01/03/2023,Wed,13:00:00,Wed,1244,62.67
01/03/2023,Wed,14:00:00,Wed,1197,64.02
01/03/2023,Wed,15:00:00,Wed,1277,61.66
01/03/2023,Wed,16:00:00,Wed,1375,61.77
01/03/2023,Wed,17:00:00,Wed,1683,58.97
01/03/2023,Wed,18:00:00,Wed,1560,61.88
01/03/2023,Wed,19:00:00,Wed,1519,64.12
01/03/2023,Wed,20:00:00,Wed,1297,67.11
01/03/2023,Wed,21:00:00,Wed,730,74.28
01/03/2023,Wed,22:00:00,Wed,224,83.42
01/03/2023,Wed,23:00:00,Wed,55,90.92
